
JS_DMA1_SLYJ03_SL02	:254: 257: 255,256

JS_DMA1_SLYJ03_SL03	:258: 261: 259,260

JS_DMA1_SLYJ03_SL04	:261: 266: 265,264,263,262

JS_DMA1_SLYJ03_SL05	:267: 270: 268,269

JS_DMA1_SLYJ03_SL08	:231: 234: 232,233

JS_DMA1_SLYJ03_SL11	:243: 244

JS_DMA1_SLYJ03_SL12	:244: 250: 248,247,246,245

JS_DMA1_SLYJ01_SL03	:221: 732: 220,219,218,217,216

JS_DMA1_SLYJ03_SL14	:145: 174: 173,172,171,146

JS_DMA1_SLYJ03_SL15	:186: 185: 184,183,182,181

JS_DMA1_SLYJ03_SL06	:270: 275: 274,273,272,271

JS_DMA1_SLYJ03_SL07	:275: 278,279: 277,276

JS_DMA1_SLYJ03_SL09	:234: 198: 238,237,236,235

JS_DMA1_SLYJ03_SL13	:742: 253: 252,251

JS_DMA1_SLYJ03_SL10	:242: 210: 214,213,212,211

JS_DMA1_SLYJ01_SL05	:221: 225: 222,223

# 这一段很奇怪
JS_DMA1_SLYJ02_SL12	:731: 711: 730,715,714,713,712 	

JS_DMA1_SLYJ02_SL06	:630: 596: 631,632

JS_DMA1_SLYJ02_SL07	:660: 626: 661,662,475,476

JS_DMA1_SLYJ02_SL14	:723: 724: 725

# 这一段怎么是悬空的?
JS_DMA1_SLYJ02_SL11	:493,494,684,685 		

JS_DMA1_SLYJ02_SL04	:008: 604: 605,606

JS_DMA1_SLYJ02_SL10	:572: 026: 570,571

JS_DMA1_SLYJ02_SL05	:597: 604: 598,599,600,601,603

JS_DMA1_SLYJ02_SL15	:726,727: 728,729

JS_DMA1_SLYJ02_SL08	:657: 658

JS_DMA1_SLYJ02_SL09	:656,655,654,653,652

JS_DMA1_SLYJ02_SL02	:705: 702

JS_DMA1_SLYJ01_SL11	:363,362: 367: 360,361

JS_DMA1_SLYJ01_SL13	:404: 527: 403,357,528

JS_DMA1_SLYJ03_SL01	:448: 399: 398,397,396,449

JS_DMA1_SLYJ01_SL04	:338: 385: 387,386

JS_DMA1_SLYJ01_SL06	:334: 335: 337,336

JS_DMA1_SLYJ02_SL03	:005: 705: 004,003,002,001,706

JS_DMA1_SLYJ01_SL07	:334: 746: 343,517,515,516

JS_DMA1_SLYJ01_SL15	:401,400: 402,426,427

JS_DMA1_SLYJ01_SL14	:428: 431: 430,429

JS_DMA1_SLYJ01_SL01	:344: 740: 354,353,355

JS_DMA1_SLYJ01_SL02	:389: 383: 540,522

# 这一段也有点奇怪
JS_DMA1_SLYJ02_SL13	:379,378,380: 375: 703   

JS_DMA1_SLYJ02_SL01	:381: 703

JS_DMA1_SLYJ01_SL09	:512: 331: 514,513

JS_DMA1_SLYJ01_SL10	:512: 364: 553,548,552

JS_DMA1_SLYJ01_SL12	:500: 404: 499,406,405

JS_DMA1_SLYJ01_SL08	:341: 331: 333,332

# 下面是吴中供水公司

JS_DMA2_SLYJ01_SL11 	:915

JS_DMA2_SLYJ02_SL05 	:252: 114,115,113,112

JS_DMA2_SLYJ02_SL03 	:226,225: 227: 222

JS_DMA2_SLYJ01_SL04 	:160,161,162,159,158

JS_DMA2_SLYJ01_SL08 	:208,209,210,211: 206: 207

JS_DMA2_SLYJ01_SL01 	:132,133,134,135: 129: 130 

JS_DMA2_SLYJ02_SL01 	:229: 230: 232,233

JS_DMA2_SLYJ02_SL13 	:550,008,007,009: 006: 023,024,025

JS_DMA2_SLYJ01_SL14 	:949,950,951: 945: 946,947,948

JS_DMA2_SLYJ02_SL09 	:107,103,104,105,106: 085: 086

JS_DMA2_SLYJ01_SL13 	:968,969,970,971: 942,943: 941

JS_DMA2_SLYJ01_SL02 	:151,171,165,166: 150: 152

JS_DMA2_SLYJ01_SL05 	:194,195,196,197: 173: 174

JS_DMA2_SLYJ01_SL10 	:548,964,965,966: 549: 953

JS_DMA2_SLYJ01_SL03 	:163,164: 155: 547

JS_DMA2_SLYJ02_SL08 	:097,095,096,098: 551,088: 090

JS_DMA2_SLYJ02_SL04 	:234,235,236: 220: 221

JS_DMA2_SLYJ02_SL06 	:262,249

JS_DMA2_SLYJ01_SL06 	:190,191,192,193: 177,176: 178

JS_DMA2_SLYJ02_SL15 	:993: 982: 983

JS_DMA2_SLYJ02_SL02 	:238: 228: 229

JS_DMA2_SLYJ02_SL10 	:064: 063: 065

JS_DMA2_SLYJ01_SL12 	:925,926,927,937: 924: 938

JS_DMA2_SLYJ02_SL12 	:035,032,033,034: 028: 029

JS_DMA2_SLYJ01_SL07 	:186,187: 181: 198

JS_DMA2_SLYJ02_SL11 	:069,067,068,070: 058: 057

JS_DMA2_SLYJ01_SL09 	:216,217: 204: 205

JS_DMA2_SLYJ02_SL14 	:011,012,013: 998: 997











